Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Description 1,Description 2,Description 3,Description 4,Sitelink text,Sitelink description line 1,Sitelink description line 2,Sitelink final URL,Callout text,Structured snippet header,Structured snippet values,Phone number,Country code,Business name
SG | Поиск | Бишкек,Search,Paused,13.72,Daily,Maximize clicks,Google search,ru;ky;All,"Bishkek, Kyrgyzstan; Chuy Region, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Калькулятор стоимости,Считайте онлайн за минуту,Цена до подачи машины,https://sprintergo.kg/#calc,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Цены и тарифы,Минимальный от 1 500 сом,Стандарт и Премиум,https://sprintergo.kg/#prices,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Автопарк,"Портер, спринтер, газель",Грузовики 3 и 5 тонн,https://sprintergo.kg/#fleet,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Отзывы клиентов,Переезды и сборка мебели,Реальные истории,https://sprintergo.kg/#reviews,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Договор и чек,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 скрытых платежей,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Оплата после работы,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Грузчики в форме,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,С 2015 года,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Заявки 24/7,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Подача в выбранное время,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Жүкчүлөр менен,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Услуги,Квартирный переезд;Офисный переезд;Грузчики;Упаковка;Сборка мебели;Грузовое такси;Жүк ташуу,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+996 755 555 357,KG,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,Paused,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузоперевозки бишкек,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузовое такси бишкек,Broad,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузоперевозки бишкек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузоперевозки по бишкеку,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузоперевозки недорого,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузовое такси,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузотакси бишкек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,грузовое такси с грузчиками,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,заказать грузоперевозку,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,перевозка мебели бишкек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,перевезти холодильник,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,перевозка стройматериалов бишкек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,перевозка вещей бишкек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,1 Грузоперевозки и грузовое такси,,,доставка мебели из магазина,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
