Campaign,Keyword,Criterion Type,Status
SG | Поиск | Бишкек,работа,Negative Phrase,Enabled
SG | Звонки,работа,Negative Phrase,Enabled
SG | Поиск | Бишкек,вакансия,Negative Phrase,Enabled
SG | Звонки,вакансия,Negative Phrase,Enabled
SG | Поиск | Бишкек,вакансии,Negative Phrase,Enabled
SG | Звонки,вакансии,Negative Phrase,Enabled
SG | Поиск | Бишкек,требуется,Negative Phrase,Enabled
SG | Звонки,требуется,Negative Phrase,Enabled
SG | Поиск | Бишкек,резюме,Negative Phrase,Enabled
SG | Звонки,резюме,Negative Phrase,Enabled
SG | Поиск | Бишкек,зарплата,Negative Phrase,Enabled
SG | Звонки,зарплата,Negative Phrase,Enabled
SG | Поиск | Бишкек,подработка,Negative Phrase,Enabled
SG | Звонки,подработка,Negative Phrase,Enabled
SG | Поиск | Бишкек,ищу работу,Negative Phrase,Enabled
SG | Звонки,ищу работу,Negative Phrase,Enabled
SG | Поиск | Бишкек,курсы,Negative Phrase,Enabled
SG | Звонки,курсы,Negative Phrase,Enabled
SG | Поиск | Бишкек,обучение,Negative Phrase,Enabled
SG | Звонки,обучение,Negative Phrase,Enabled
SG | Поиск | Бишкек,жумуш,Negative Phrase,Enabled
SG | Звонки,жумуш,Negative Phrase,Enabled
SG | Поиск | Бишкек,жумуш керек,Negative Phrase,Enabled
SG | Звонки,жумуш керек,Negative Phrase,Enabled
SG | Поиск | Бишкек,иш издейм,Negative Phrase,Enabled
SG | Звонки,иш издейм,Negative Phrase,Enabled
SG | Поиск | Бишкек,айлык,Negative Phrase,Enabled
SG | Звонки,айлык,Negative Phrase,Enabled
SG | Поиск | Бишкек,купить,Negative Phrase,Enabled
SG | Звонки,купить,Negative Phrase,Enabled
SG | Поиск | Бишкек,продажа,Negative Phrase,Enabled
SG | Звонки,продажа,Negative Phrase,Enabled
SG | Поиск | Бишкек,продам,Negative Phrase,Enabled
SG | Звонки,продам,Negative Phrase,Enabled
SG | Поиск | Бишкек,продается,Negative Phrase,Enabled
